Sample,Phyla,Abundance
P013,p__Proteobacteria,92.26587
P013,p__Bacteroidetes,5.79713
P013,p__Actinobacteria,1.93699
P014,p__Firmicutes,57.05605
P014,p__Bacteroidetes,30.48375
P014,p__Actinobacteria,10.41284
P014,p__Proteobacteria,1.87466
P014,p__Spirochaetes,0.08293
P014,p__Elusimicrobia,0.07759
P014,p__Candidatus_Melainabacteria,0.01218
P017,p__Firmicutes,62.71771
P017,p__Bacteroidetes,27.8211
P017,p__Actinobacteria,6.69604
P017,p__Proteobacteria,2.7379
P017,p__Fusobacteria,0.02725
P019,p__Firmicutes,47.52294
P019,p__Actinobacteria,25.68512
P019,p__Bacteroidetes,24.48287
P019,p__Proteobacteria,2.00102
P019,p__Tenericutes,0.30805
P024,p__Firmicutes,50.83175
P024,p__Actinobacteria,34.4852
P024,p__Bacteroidetes,11.20953
P024,p__Proteobacteria,3.47351
P027,p__Firmicutes,54.33546
P027,p__Bacteroidetes,33.07263
P027,p__Proteobacteria,7.46596
P027,p__Actinobacteria,5.06322
P027,p__Fusobacteria,0.05256
P027,p__Verrucomicrobia,0.01017
P035,p__Bacteroidetes,36.20574
P035,p__Firmicutes,26.18823
P035,p__Actinobacteria,25.68169
P035,p__Proteobacteria,11.91365
P035,p__Fusobacteria,0.01069
P039,p__Actinobacteria,53.96638
P039,p__Firmicutes,28.13433
P039,p__Bacteroidetes,16.31016
P039,p__Proteobacteria,1.58914
P042,p__Actinobacteria,43.04443
P042,p__Firmicutes,30.59412
P042,p__Bacteroidetes,24.44477
P042,p__Proteobacteria,0.88714
P042,p__Candidatus_Melainabacteria,0.80202
P042,p__Spirochaetes,0.12371
P042,p__Tenericutes,0.10381
P045,p__Firmicutes,46.13956
P045,p__Bacteroidetes,40.74498
P045,p__Actinobacteria,9.85034
P045,p__Proteobacteria,2.4355
P045,p__Spirochaetes,0.82962
P048,p__Firmicutes,81.81727
P048,p__Bacteroidetes,9.56417
P048,p__Actinobacteria,8.0569
P048,p__Proteobacteria,0.56166
P051,p__Firmicutes,69.61628
P051,p__Actinobacteria,18.18452
P051,p__Bacteroidetes,11.25869
P051,p__Proteobacteria,0.76137
P051,p__Fusobacteria,0.1473
P051,p__Apicomplexa,0.03183
P052,p__Bacteroidetes,49.66867
P052,p__Firmicutes,33.71227
P052,p__Actinobacteria,7.52195
P052,p__Candidatus_Melainabacteria,4.41618
P052,p__Proteobacteria,2.33218
P052,p__Spirochaetes,1.39305
P052,p__Verrucomicrobia,0.95571
P053,p__Firmicutes,60.6416
P053,p__Actinobacteria,38.7932
P053,p__Proteobacteria,0.56033
P053,p__Bacteroidetes,0.00486
P055,p__Firmicutes,53.47682
