Sample,p__Proteobacteria,p__Bacteroidetes,p__Actinobacteria,p__Firmicutes,p__Spirochaetes,p__Elusimicrobia,p__Candidatus_Melainabacteria,p__Fusobacteria,p__Tenericutes,p__Verrucomicrobia,p__Apicomplexa,p__Deinococcus_Thermus,p__Ascomycota,p__Euryarchaeota,p__Basidiomycota,p__Acidobacteria,p__Bacteria_unclassified,p__Eukaryota_unclassified,p__Candidatus_Saccharibacteria,p__Cyanobacteria,p__Thaumarchaeota,p__Lentisphaerae
P013,92.26587,5.79713,1.93699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P014,1.87466,30.48375,10.41284,57.05605,0.08293,0.07759,0.01218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P017,2.7379,27.8211,6.69604,62.71771,NA,NA,NA,0.02725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P019,2.00102,24.48287,25.68512,47.52294,NA,NA,NA,NA,0.30805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P024,3.47351,11.20953,34.4852,50.83175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P027,7.46596,33.07263,5.06322,54.33546,NA,NA,NA,0.05256,NA,0.01017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P035,11.91365,36.20574,25.68169,26.18823,NA,NA,NA,0.01069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P039,1.58914,16.31016,53.96638,28.13433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P042,0.88714,24.44477,43.04443,30.59412,0.12371,NA,0.80202,NA,0.10381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P045,2.4355,40.74498,9.85034,46.13956,0.82962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P048,0.56166,9.56417,8.0569,81.81727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P051,0.76137,11.25869,18.18452,69.61628,NA,NA,NA,0.1473,NA,NA,0.03183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P052,2.33218,49.66867,7.52195,33.71227,1.39305,NA,4.41618,NA,NA,0.95571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P053,0.56033,0.00486,38.7932,60.6416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P055,2.44317,33.59438,8.87805,53.47682,1.58014,NA,0.00881,NA,0.01862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P061,4.83665,45.39189,21.12067,28.65079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P063,2.04002,29.28152,4.23335,59.85575,0.47832,NA,NA,4.11104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P071,1.34767,12.07787,55.53101,31.04345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P075,0.70308,5.8101,35.514,57.97282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P089,1.35928,25.82061,15.05149,57.6145,NA,NA,0.15412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P090,2.25967,7.84895,28.84449,60.59464,NA,NA,NA,0.08956,NA,0.36269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P092,2.40151,7.07831,17.69386,72.67386,NA,NA,NA,NA,0.12681,NA,NA,0.02565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P097,4.16963,36.21653,3.14962,55.2783,NA,NA,0.38495,0.0427,NA,0.75827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P100,57.5513,7.64642,32.97944,1.82284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P102,26.39026,4.94648,61.87714,6.72085,NA,NA,NA,NA,NA,NA,NA,0.06527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P111,47.79573,2.28353,46.58333,3.33741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P114,24.65829,1.4159,58.54924,15.37657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P115,49.73057,1.64371,46.63078,1.98317,NA,NA,NA,NA,NA,NA,NA,0.01177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P119,57.94647,7.05012,23.18545,11.81796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P120,7.82335,0.40462,55.82282,35.94922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P121,6.3355,11.49649,31.90934,34.26819,NA,NA,1.68593,NA,NA,14.30455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P126,10.94715,11.74715,39.99174,36.64765,NA,NA,NA,NA,NA,0.62686,NA,0.03944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
