Sample,Family,Count
P013,1028100594|WP_063856729_1|1|1|vanR-O|vanR-O|re-structuring_of_the_cell_wall|2|VANCOMYCIN|GLYCOPEPTIDE|vancomycin_resistance_response_regulator_transcription_factor_VanR-O,37.52943589
P013,1028109684|WP_063864087_1|1|1|blaOXA-457|blaOXA-PR|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-457,6.980921855
P013,gb|BAH63251_1|ARO_3004580|Kpne_KpnE__Klebsiella_pneumoniae,0.670168498
P013,gb|EGP45230_2|ARO_3004142|OprZ__Achromobacter_insuavis,34.88818358
P013,gb|EGP45231_1|ARO_3004144|AxyY__Achromobacter_insuavis,35.99891595
P013,gb|EGP45232_2|ARO_3004143|AxyX__Achromobacter_insuavis,35.37000407
P014,0|WP_002215445_1|1|1|rpsE|rpsE|mutation|2|||30S_ribosomal_protein_S5,0.704252213
P014,1028081053|WP_063840436_1|1|1|aadA21|aadA21|nucleotidyltransferase|2|STREPTOMYCIN|AMINOGLYCOSIDE|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA21,7.042522129
P014,1028081124|WP_063840507_1|1|1|ant(2__)-Ia|ant(2__)-Ia|nucleotidyltransferase|2|GENTAMICIN_KANAMYCIN_TOBRAMYCIN|AMINOGLYCOSIDE|aminoglycoside_nucleotidyltransferase_ANT(2__)-Ia,2.600315863
P014,1028084269|WP_063843237_1|1|1|cfxA|cfxA|hydrolase|2|BETA-LACTAM|BETA-LACTAM|broad-spectrum_class_A_beta-lactamase_CfxA,25.85019887
P014,1028086397|WP_063844771_1|1|1|erm(F)|erm(F)|target_modification|2|MACROLIDE|MACROLIDE|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(F),32.33436247
P014,1028086505|WP_063844879_1|1|1|erm(X)|erm(X)|target_modification|2|MACROLIDE|MACROLIDE|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(X),15.29233377
P014,1028086515|WP_063844889_1|1|1|erm(X)|erm(X)|target_modification|2|MACROLIDE|MACROLIDE|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(X),131.8360143
P014,1028097816|WP_063854490_1|1|1|nimB|nimB|nitroimidazole_reductase|2|NITROIMIDAZOLE|NITROIMIDAZOLE|5-nitroimidazole_reductase_NimB,2.704328497
P014,1028097819|WP_063854492_1|1|1|nimD|nimD|nitroimidazole_reductase|2|NITROIMIDAZOLE|NITROIMIDAZOLE|5-nitroimidazole_reductase_NimD,44.62142021
